0,1,2,3,4,5,6,7,8
tour virtual,31 - 66 m² útiles,1 - 3 dormitorios,1 - 2 baños,"isla picton altura 300, viña del mar",canal beagle,,venta,departamentos
tour virtual,33 - 69 m² útiles,1 - 3 dormitorios,1 - 2 baños,"nuncio laghi 5600, ñuñoa",egaña style,,venta,departamentos
tour virtual,31 - 75 m² útiles,1 - 3 dormitorios,1 - 2 baños,"colombia 7563, vicente valdés, la florida",convet edificio vista walker martínez,,venta,departamentos
uf14.819,40 - 148 m² útiles,1 - 4 dormitorios,1 - 4 baños,"medinacelli 1226, las condes",moller edificio medinacelli 1226,,venta,departamentos
tour virtual,113 - 144 m² útiles,3 - 4 dormitorios,2 - 4 baños,"camino el parque 100, tabancura, vitacura",moller edificio lingue,,venta,departamentos
uf6.740,49 - 94 m² útiles,1 - 2 dormitorios,1 - 2 baños,"martín de zamora 4253, vaticano, las condes",edificio martín de zamora 4253,,venta,departamentos
tour virtual,67 - 111 m² útiles,2 - 3 dormitorios,2 - 3 baños,"simón bolívar 2543, ñuñoa",edificio simón bolívar 2543,,venta,departamentos
tour virtual,247 - 306 m² útiles,4 dormitorios,5 - 6 baños,"bernardo larraín 12.663, la dehesa, lo barnechea",moller edificios nogales del golf,,venta,departamentos
uf7.881,62 - 114 m² útiles,2 - 3 dormitorios,2 - 3 baños,"martín de zamora 6167, rotonda atenas, las condes",edificio mirador martín de zamora,,venta,departamentos
uf6.933,57 - 99 m² útiles,2 - 3 dormitorios,2 - 3 baños,"holanda 1083, las lilas, providencia",edificio holanda 1101,,venta,departamentos
uf12.140,94 - 120 m² útiles,2 dormitorios,3 baños,"el coihue 3900, parque bicentenario, vitacura",edificio walk,,venta,departamentos
uf4.265,35 - 58 m² útiles,1 - 2 dormitorios,1 - 2 baños,"general josé artigas 3082, plaza ñuñoa, ñuñoa",edificio los leones ñuñoa,,venta,departamentos
uf2.885,30 - 58 m² útiles,1 - 2 dormitorios,1 - 2 baños,"edmundo eluchans 3011, concón",hoy eluchans,,venta,departamentos
uf4.015,35 - 68 m² útiles,1 - 3 dormitorios,1 - 2 baños,"2 norte 1230, libertad, viña del mar",2 norte 1230,,venta,departamentos
uf10.490,102 - 155 m² útiles,3 dormitorios,3 baños,"av. cristóbal colón 5751, las condes",edificio colón 5751,,venta,departamentos
uf9.077,81 - 141 m² útiles,2 - 3 dormitorios,2 - 4 baños,"querétaro 1750, estadio manquehue, vitacura",nucleos queretaro 1750,,venta,departamentos
uf2.500,22 - 81 m² útiles,1 - 2 dormitorios,1 - 2 baños,"manuel montt 2630, ñuñoa",manuel montt 2630,,venta,departamentos
tour virtual,22 - 56 m² útiles,1 - 3 dormitorios,1 - 2 baños,"los abedules 1739, montemar, concón",edificio lomas del mar,,venta,departamentos
uf2.840,27 - 101 m² útiles,1 - 3 dormitorios,1 - 2 baños,"brown sur 48, plaza ñuñoa, ñuñoa",edificio brown sur,,venta,departamentos
tour virtual,40 - 123 m² útiles,1 - 3 dormitorios,1 - 3 baños,"av. los leones 2537, campus oriente, providencia",los leones 2537,,venta,departamentos
uf2.531,31 - 51 m² útiles,1 - 2 dormitorios,1 - 2 baños,"virginio arias 1371, juan gómez millas, ñuñoa",m ñuñoa,,venta,departamentos
uf7.011,56 - 145 m² útiles,2 - 4 dormitorios,2 - 3 baños,"martín alonso pinzón 4920, las condes",edificio porta pinzón,,venta,departamentos
uf3.745,37 - 92 m² útiles,1 - 3 dormitorios,1 - 3 baños,"bretaña 1993, metro monseñor eyzaguirre, ñuñoa",plaza manuel montt,,venta,departamentos
uf2.663,21 - 61 m² útiles,1 - 2 dormitorios,1 - 2 baños,"marchant pereira 3350, metro ñuñoa, ñuñoa",edificio step,,venta,departamentos
tour virtual,44 - 69 m² útiles,1 - 2 dormitorios,1 - 2 baños,"teniente montt 1980, ñuñoa",teniente montt 1980,,venta,departamentos
tour virtual,35 - 73 m² útiles,1 - 3 dormitorios,1 - 2 baños,"varas mena 865, ciudad del niño, san miguel",foresta v,,venta,departamentos
uf2.095,32 - 41 m² útiles,1 - 2 dormitorios,1 baño,"av. gregorio marañón 2350, agua santa, viña del mar",edificio altavista iii,,venta,departamentos
uf2.450,32 - 64 m² útiles,1 - 3 dormitorios,1 - 2 baños,"francisco meneses 1580, estadio nacional, ñuñoa",sinergia parque meneses,,venta,departamentos
uf3.645,25 - 50 m² útiles,1 - 2 dormitorios,1 - 2 baños,"las condes 6.950, las condes",modo,,venta,departamentos
tour virtual,58 - 126 m² útiles,1 - 3 dormitorios,1 - 3 baños,"pirineos 2002, inés de suárez, providencia",edificio pirineos,,venta,departamentos
uf3.333,29 - 81 m² útiles,1 - 3 dormitorios,1 - 2 baños,"9 norte 450, libertad, viña del mar",edificio vía poniente,,venta,departamentos
uf4.414,36 - 80 m² útiles,1 - 3 dormitorios,1 - 2 baños,"av. borgoño 22000, concón",costa higuerillas,,venta,departamentos
uf2.913,30 - 54 m² útiles,1 - 2 dormitorios,1 - 2 baños,"duble almeyda 2560, ñuñoa",duble almeyda 2560,,venta,departamentos
tour virtual,34 - 50 m² útiles,1 - 2 dormitorios,1 - 2 baños,"plaza egaña 100, ñuñoa",sky 100,,venta,departamentos
tour virtual,74 - 118 m² útiles,1 - 2 dormitorios,2 - 3 baños,"presidente riesco 3077, barrio el golf, las condes",edificio riesco leguía,,venta,departamentos
uf5.225,61 - 89 m² útiles,2 - 3 dormitorios,2 baños,"av. edmundo eluchans 2105, reñaca, reñaca, viña del mar",infinity,,venta,departamentos
uf5.726,60 - 87 m² útiles,2 - 3 dormitorios,2 baños,"calle julio prado 2110, ñuñoa",edificio julio prado 2110,,venta,departamentos
uf3.090,31 - 59 m² útiles,1 - 2 dormitorios,1 - 2 baños,"av. josé pedro alessandri 433, plaza ñuñoa, ñuñoa",sinergía josé pedro alessandri,,venta,departamentos
uf3.331,30 - 58 m² útiles,1 - 2 dormitorios,1 - 2 baños,"manuel montt 2648, metro monseñor eyzaguirre, ñuñoa",isa manuel montt,,venta,departamentos
tour virtual,32 - 62 m² útiles,1 - 3 dormitorios,1 - 2 baños,"vicuña mackenna 3756, metro carlos valdovinos, macul",laguna centro - etapa 3,,venta,departamentos
uf2.948,34 - 67 m² útiles,1 - 3 dormitorios,1 - 2 baños,"rodrigo de araya 3280, juan gómez millas, ñuñoa",siena rodrigo de araya 3280,,venta,departamentos
uf5.090,41 - 98 m² útiles,1 - 3 dormitorios,1 - 2 baños,"av. condell 476, salvador, providencia",sinergía condell,,venta,departamentos
uf2.990,37 - 78 m² útiles,1 - 3 dormitorios,1 - 2 baños,"vicente valdés 848, vicente valdés, la florida",edificio vicente valdés 848,,venta,departamentos
tour virtual,62 - 122 m² útiles,2 - 3 dormitorios,2 - 3 baños,"av. edmundo eluchans 2855, reñaca, viña del mar",eco miramar,,venta,departamentos
uf9.629,68 - 139 m² útiles,2 - 3 dormitorios,2 - 3 baños,"el arcángel 4710, pío xi, vitacura",edificio karun,,venta,departamentos
uf1.778,35 - 68 m² útiles,1 - 3 dormitorios,1 - 2 baños,"oficina castilla 11.101, la chimba, antofagasta",las velas del norte,,venta,departamentos
