,cut,comuna,,provincia,región,superficie(km²),población2020,densidad(hab./km²),idh 2005,latitud,longitud
0,15101,arica,,arica,arica y parinacota,4799.4,247552,51.6,0.866,"-18°27'18""","-70°17'24"""
1,15102,camarones,,arica,arica y parinacota,3927.0,1233,0.31,0.791,"-19°1'1.2""","-69°52'1.2"""
2,15201,putre,,parinacota,arica y parinacota,5902.5,2515,0.43,0.817,"-18°12'0""","-69°34'58.8"""
3,15202,general lagos,,parinacota,arica y parinacota,2244.4,810,0.36,0.773,"-17°39'10.8""","-69°38'6"""
4,1101,iquique,,iquique,tarapacá,2242.1,223463,99.6,0.826,"-20°14'38.4""","-70°8'20.4"""
5,1107,alto hospicio,,iquique,tarapacá,5729.0,129999,226.8,"0,735","-20°15'25.2""","-70°1'19.2"""
6,1401,pozo almonte,,tamarugal,tarapacá,13765.8,17395,1.26,0.772,"-20°17'27.6""","-69°41'45.6"""
7,1402,camiña,,tamarugal,tarapacá,2200.2,1375,0.62,0.699,"-20°28'58.8""","-69°22'1.2"""
8,1403,colchane,,tamarugal,tarapacá,4015.6,1583,0.39,0.683,"-19°17'2.4""","-68°40'30"""
9,1404,huara,,tamarugal,tarapacá,10474.6,3000,0.29,0.746,"-19°48'32.4""","-69°58'19.2"""
10,1405,pica,,tamarugal,tarapacá,8934.3,5958,0.66,0.823,"-20°28'58.8""","-69°22'40.8"""
11,2101,antofagasta,,antofagasta,antofagasta,30718.1,425725,13.8,0.854,"-23°39'3.6""","-70°23'42"""
12,2102,mejillones,,antofagasta,antofagasta,3803.9,14776,3.88,0.795,"-23°6'36""","-70°27'21.6"""
13,2103,sierra gorda,,antofagasta,antofagasta,12886.0,1746,0.14,0.809,"-22°53'52.8""","-69°19'22.8"""
14,2104,taltal,,antofagasta,antofagasta,20405.1,13657,0.67,0.776,"-25°24'36""","-70°29'20.4"""
15,2201,calama,,el loa,antofagasta,15596.9,190336,12.2,0.857,"-22°28'26.4""","-68°55'26.4"""
16,2202,ollagüe,,el loa,antofagasta,2964.0,287,0.09,0.739,"-21°13'58.8""","-68°16'1.2"""
17,2203,san pedro de atacama,,el loa,antofagasta,23439.0,10434,0.45,0.771,"-22°55'12""","-68°12'36"""
18,2301,tocopilla,,tocopilla,antofagasta,4038.8,28079,6.95,0.796,"-22°4'55.2""","-70°11'20.4"""
19,2302,maría elena,,tocopilla,antofagasta,12197.0,6814,0.55,0.779,"-22°19'1.2""","-69°40'37.2"""
20,3101,copiapó,,copiapó,atacama,16681.3,171766,10.2,0.725,"-27°22'30""","-70°19'44.4"""
21,3102,caldera,,copiapó,atacama,4666.6,19426,4.16,0.741,"-27°3'57.6""","-70°49'33.6"""
22,3103,tierra amarilla,,copiapó,atacama,11191.0,14312,1.27,0.686,"-27°28'22.8""","-70°16'58.8"""
23,3201,chañaral,,chañaral,atacama,5772.0,13164,2.28,0.714,"-26°20'45.6""","-70°37'26.4"""
24,3202,diego de almagro,,chañaral,atacama,18664.0,14358,0.77,0.789,"-26°23'24""","-70°3'7.2"""
25,3301,vallenar,,huasco,atacama,7084.0,57009,8.04,0.731,"-28°34'37.2""","-70°46'12"""
26,3302,alto del carmen,,huasco,atacama,5939.0,5729,0.96,0.664,"-28°44'56.4""","-70°29'27.6"""
27,3303,freirina,,huasco,atacama,3207.9,7681,2.39,0.693,"-28°30'21.6""","-71°4'33.6"""
28,3304,huasco,,huasco,atacama,1601.4,11264,7.03,0.695,"-28°27'21.6""","-71°11'9.6"""
29,4101,la serena,,elqui,coquimbo,1892.8,249656,131.8,0.781,"-29°54'25.2""","-71°14'49.2"""
30,4102,coquimbo,,elqui,coquimbo,1429.0,256735,179.6,0.731,"-29°58'15.6""","-71°18'25.2"""
31,4103,andacollo,,elqui,coquimbo,310.0,11791,38.0,0.675,"-30°13'48""","-71°5'9.6"""
32,4104,la higuera,,elqui,coquimbo,4158.2,4450,1.07,0.67,"-29°30'0""","-71°16'58.8"""
33,4105,paihuano,,elqui,coquimbo,1495.0,4675,3.12,0.734,"-30°2'16.8""","-70°30'25.2"""
34,4106,vicuña,,elqui,coquimbo,7610.0,29741,3.90,0.716,"-30°1'8.4""","-70°42'54"""
35,4201,illapel,,choapa,coquimbo,2629.0,32801,12.4,0.667,"-31°38'20.4""","-71°10'44.4"""
36,4202,canela,,choapa,coquimbo,2196.6,9546,4.34,0.644,"-31°23'45.6""","-71°25'8.4"""
37,4203,los vilos,,choapa,coquimbo,1823.8,23374,12.8,0.675,"-31°54'54""","-71°30'21.6"""
38,4204,salamanca,,choapa,coquimbo,3445.0,29110,8.44,0.676,"-31°46'48""","-70°58'1.2"""
39,4301,ovalle,,limarí,coquimbo,3835.0,121269,31.6,0.725,"-30°35'56.4""","-71°11'20.4"""
40,4302,combarbalá,,limarí,coquimbo,2257.5,13884,6.14,0.661,"-31°10'48""","-71°0'14.4"""
41,4303,monte patria,,limarí,coquimbo,4366.9,32527,7.44,0.653,"-30°46'30""","-70°56'34.8"""
42,4304,punitaqui,,limarí,coquimbo,1339.0,12165,9.08,0.653,"-30°49'58.8""","-71°15'36"""
43,4305,río hurtado,,limarí,coquimbo,2180.0,4372,2.01,0.653,"-30°16'22.8""","-70°40'1.2"""
44,5101,valparaíso,,valparaíso,valparaíso,4016.0,315732,810.2,0.701,"-33°2'60""","-71°36'57.6"""
45,5102,casablanca,,valparaíso,valparaíso,953.0,29170,30.6,0.712,"-33°19'30""","-71°24'36"""
46,5103,concón,,valparaíso,valparaíso,76.0,45889,603.8,0.781,"-32°57'36""","-71°28'8.4"""
47,5104,juan fernández,,valparaíso,valparaíso,1494.0,1033,6.93,0.744,"-33°37'58.8""","-78°52'1.2"""
48,5105,puchuncaví,,valparaíso,valparaíso,300.0,20071,66.9,0.734,"-32°44'52.8""","-71°23'52.8"""
49,5107,quintero,,valparaíso,valparaíso,148.0,36135,244.1,0.733,"-32°50'42""","-71°28'1.2"""
50,5109,viña del mar,,valparaíso,valparaíso,1216.0,361371,2.962,0.766,"-33°1'30""","-71°30'54"""
51,5201,isla de pascua,,isla de pascua,valparaíso,1636.0,8277,50.4,0.715,"-27°7'43.72""","-109°21'35.89"""
52,5301,los andes,,los andes,valparaíso,1248.0,68093,54.5,0.756,"-32°50'13.2""","-70°35'49.2"""
53,5302,calle larga,,los andes,valparaíso,3217.0,16482,51.1,0.706,"-32°52'59""","-70°28'55"""
54,5303,rinconada,,los andes,valparaíso,1225.0,11263,91.5,0.691,"-32°49'59.38""","-70°41'18.28"""
55,5304,san esteban,,los andes,valparaíso,681.0,20643,30.3,0.732,"-32°48'18""","-70°34'51.6"""
56,5401,la ligua,,petorca,valparaíso,1163.0,37739,32.4,0.708,"-32°21'13.28""","-71°16'19.63"""
57,5402,cabildo,,petorca,valparaíso,1455.0,20663,14.2,0.671,"-32°24'32.4""","-71°4'48"""
58,5403,papudo,,petorca,valparaíso,643.0,6201,96.8,0.734,"-32°28'12""","-71°22'51.6"""
59,5404,petorca,,petorca,valparaíso,1517.0,10558,6.95,0.696,"-32°17'24""","-70°57'0"""
60,5405,zapallar,,petorca,valparaíso,288.0,7994,27.7,0.743,"-32°34'4.8""","-71°26'16.8"""
61,5501,quillota,,quillota,valparaíso,302.0,97572,323.0,0.726,"-32°54'54""","-71°15'50.4"""
62,5502,la calera,,quillota,valparaíso,605.0,53591,878.5,0.7,"-32°47'2.4""","-71°12'14.4"""
63,5503,hijuelas,,quillota,valparaíso,267.0,19099,71.5,0.672,"-32°51'18""","-71°5'38.4"""
64,5504,la cruz,,quillota,valparaíso,78.0,25321,324.6,0.763,"-32°49'26.4""","-71°14'38.4"""
65,5506,nogales,,quillota,valparaíso,405.0,23490,58.0,0.689,"-32°44'9.6""","-71°12'28.8"""
66,5601,san antonio,,san antonio,valparaíso,405.0,96761,238.9,0.697,"-33°35'41""","-71°36'26.9"""
67,5602,algarrobo,,san antonio,valparaíso,176.0,15174,86.2,"0,722","-33°22'09""","-71°40'05"""
68,5603,cartagena,,san antonio,valparaíso,246.0,25357,103.0,0.708,"-33°33'13.8""","-71°36'27.4"""
69,5604,el quisco,,san antonio,valparaíso,51.0,17742,347.8,0.745,"-33°23'29""","-71°41'34"""
70,5605,el tabo,,san antonio,valparaíso,99.0,14338,144.8,0.747,"-33°28'48""","-71°37'15.6"""
