,0,1,2,3,4,5
0,uf50,135 m² útiles,3 dormitorios,"avenida padre hurtado norte & avenida vitacura, vitacura, chile, estadio croata, vitacura",,"avenida padre hurtado norte & avenida vitacura, vitacura"
1,$680.000,85 m² útiles,3 dormitorios,"chesterton, las condes, chile, los dominicos, las condes",,
2,uf29,101 m² útiles,3 dormitorios,"sin comisión 2 estacionamientos gastos comunes incluidos, la florida",,
3,uf85,330 m² útiles,3 dormitorios,"colina miravalle 9930, las condes, chile, los dominicos, las condes",,
4,$600.000,70 m² útiles,3 dormitorios,"camino las flores 2722, valle grande, lampa, chile, valle grande, lampa",,
5,$850.000,152 m² útiles,3 dormitorios,"montenegro 77, ñuñoa, chile, parque juan xxiii, ñuñoa",,
6,$650.000,60 m² útiles,3 dormitorios,"fleming 8026, san carlos de apoquindo, las condes",,
7,"uf16,50",70 m² útiles,3 dormitorios,"glasgow 9367, la florida alto, la florida",,
8,uf26,79 m² útiles,3 dormitorios,"medinacelli 1028, las condes",,
9,$750.000,100 m² útiles,3 dormitorios,"townhouse calle uruguay 9098, muy seguro , sin gastos comunes., rojas magallanes, la florida",,"townhouse calle uruguay 9098, muy seguro , sin gastos"
10,$450.000,70 m² útiles,3 dormitorios,"metro agrícola, san joaquín",,
11,$1.100.000,3 dormitorios,"a dos cuadras de las condes, metro hernando de magallanes, las condes",,casa en arriendo de 3 dorm. en las condes,
12,$1.400.000,140 m² útiles,3 dormitorios,"pedro de gamboa, presidente riesco, hospital fach, alto las condes, las condes",,casa en arriendo de 3 dorm. en las condes
13,$1.100.000,110 m² útiles,3 dormitorios,"alcalde rutilio rivas, alcalde chadwick, metro príncipe de gales - country club, la reina",,casa en arriendo de 3 dorm. en la reina
14,$500.000,74 m² útiles,3 dormitorios,"barrantes 1 oriente 0000, plaza viva, puente alto",,
15,$1.100.000,150 m² útiles,3 dormitorios,"completa casa amoblada en cond. el remanso, gran terreno, piscina, quincho, terraza techada., chicureo, colina",,"completa casa amoblada en cond. el remanso, gran terreno,"
16,$1.100.000,110 m² útiles,3 dormitorios,"espectacurar casa en las condes, alto las condes, las condes",,
17,uf38,110 m² útiles,3 dormitorios,"sebastián elcano isabel la católica, sebastián elcano, las condes",,
18,$520.000,62 m² útiles,3 dormitorios,"pasaje talcamavida, el rosal, maipú",,
19,$1.170.000,110 m² útiles,3 dormitorios,"el gabino / mall portal la dehesa / padre alfredo arteaga / costanera norte, la dehesa, lo barnechea",,el gabino / mall portal la dehesa / padre alfredo arteaga /
20,$700.000,95 m² útiles,3 dormitorios,"valle grande lampa, lampa",,casa en arriendo de 3 dorm. en lampa
21,$610.000,51 m² útiles,3 dormitorios,"arzobispo fuenzalida / lautaro ferrer, plaza ñuñoa, ñuñoa",,
22,$1.500.000,225 m² útiles,3 dormitorios,"alonso de córdova, las condes, región metropolitana, chile, parque arauco, las condes",,
23,uf50,135 m² útiles,3 dormitorios,"padre hurtado/ vitacura, las condes",,
24,uf82,170 m² útiles,3 dormitorios,"fray bernardo 3d 3b, escritorio, estar mas servicios 170 y 996 m2, las condes",,casa en arriendo de 3 dorm. en las condes
25,uf50,135 m² útiles,3 dormitorios,"hermosa casa ubicada en avda. padre hurtado con vitacura a pasos del colegio sscc manquehue., vitacura",,hermosa casa ubicada en avda. padre hurtado con vitacura a
26,uf79,210 m² útiles,3 dormitorios,"san ramón, las condes",,casa en arriendo de 3 dorm. en las condes
27,uf55,101 m² útiles,3 dormitorios,"dehesa antigua, la dehesa, lo barnechea",,
28,$500.000,58 m² útiles,3 dormitorios,"los suspiros, san bernardo",,casa en arriendo de 3 dorm. en san bernardo
29,uf140,480 m² útiles,3 dormitorios,"antonio rabat / carolina rabat c_388359, santa maría de manquehue, vitacura",,
30,$850.000,100 m² útiles,3 dormitorios,"cerro los azules 680, las condes",,
31,$1.250.000,138 m² útiles,3 dormitorios,"los españoles / el cerro, pedro de valdivia norte, providencia",,
32,"uf31,70",110 m² útiles,3 dormitorios,"los tambores / metro los dominicos, las condes",,casa en arriendo de 3 dorm. en las condes
33,$500.000,90 m² útiles,3 dormitorios,"ciudad satélite 2 / parque sur c_389066, ciudad satélite, maipú",,
34,$1.100.000,110 m² útiles,3 dormitorios,"las tranqueras, metro hernando de magallanes, las condes",,casa en arriendo de 3 dorm. en las condes
35,uf30,120 m² útiles,3 dormitorios,"arriendo casa en huechuraba, pedro fontova, huechuraba",,
36,$1.400.000,165 m² útiles,3 dormitorios,"echeñique / santa rita, la reina",,
37,$650.000,180 m² útiles,3 dormitorios,"ciudad del valle 956, ciudad de los valles, pudahuel",,
38,uf100,260 m² útiles,3 dormitorios,"20707 / los araucanos / pedro de valdivi, pedro de valdivia norte, providencia",,
39,$1.800.000,150 m² útiles,3 dormitorios,"san ignacio, san miguel",,se arrienda casa con terreno en san miguel ideal para neg...
40,$600.000,80 m² útiles,3 dormitorios,"santa inés 1, la florida alto, la florida",,
41,$450.000,75 m² útiles,3 dormitorios,"villa el arrayan | lan naciones con san martin, nueva san martín, maipú",,casa en arriendo de 3 dorm. en maipú
42,$950.000,120 m² útiles,3 dormitorios,"av tobalaba / san vicente de paul, la reina",,
43,$970.000,130 m² útiles,3 dormitorios,"camino al volcán, san josé de maipo, chile, localidad de san josé de maipo, san josé de maipo",,
44,$480.000,67 m² útiles,3 dormitorios,"la foresta / talagante, centro de talagante, talagante",,
45,$1.700.000,140 m² útiles,3 dormitorios,"san anselmo 480, chicureo, colina",,
46,$650.000,92 m² útiles,3 dormitorios,"casa con 2 suite, pedro fontova, huechuraba",,
47,$700.000,124 m² útiles,3 dormitorios,"la montaña norte 3650, valle grande, lampa",,
48,$370.000,85 m² útiles,3 dormitorios,"dieciocho de septiembre, el bosque, chile, alejandro guzmán, el bosque",,
49,$375.000,90 m² útiles,3 dormitorios,"los lingues 00, protectora de la infancia, puente alto",,
50,$2.850.000,200 m² útiles,3 dormitorios,"comercial / habitacional grecia / rep israel trifasica, aire, estadio nacional, ñuñoa",,
51,$500.000,85 m² útiles,3 dormitorios,"la parroquia 7573, vicente valdés, la florida",,
52,$630.000,120 m² útiles,3 dormitorios,"autopista vespucio norte, el descanso, maipú",,casa en arriendo de 3 dorm. en maipú
53,$390.000,62 m² útiles,3 dormitorios,"la pietà 1728, luis matte larraín, puente alto",,
54,$460.000,75 m² útiles,3 dormitorios,"santa julia, la florida alto, la florida",,casa en arriendo de 3 dorm. en la florida
55,$850.000,100 m² útiles,3 dormitorios,"arriendo casa con local comercial, la florida, rojas magallanes, la florida",,
56,$750.000,80 m² útiles,3 dormitorios,"pleno barrio itali / a pasos de santa isabel, barrio italia, providencia",,
57,$690.000,120 m² útiles,3 dormitorios,"alto macul en condominio disponibilidad fines de marzo2021, lo cañas - alto macul, la florida",,
58,$2.000.000,119 m² útiles,3 dormitorios,"plaza de maipú, plaza de maipú, maipú",,casa en arriendo de 3 dorm. en maipú
59,uf58,180 m² útiles,3 dormitorios,"quinchamalí, las condes",,"acogedora casa, el arrayán, vista insuperable"
60,uf91,250 m² útiles,3 dormitorios,"chicureo oriente, chicureo, colina",,
61,$10.000.000,660 m² útiles,3 dormitorios,"santa maría de manquhue, vitacura",,casa en arriendo de 3 dorm. en vitacura
62,$900.000,85 m² útiles,3 dormitorios,"carretera general san martin cercano cruce lo pinto, chicureo, colina",,
63,$790.000,97 m² útiles,3 dormitorios,"sector clínica santa maría, bellavista, providencia",,
64,$650.000,64 m² útiles,3 dormitorios,"avenida los pajaritos 1365, plaza de maipú, maipú",,
65,$2.500.000,480 m² útiles,3 dormitorios,"sector tobalaba, la reina alta, la reina",,
66,$490.000,76 m² útiles,3 dormitorios,"anibal pinto 2037, mirador viejo, independencia",,
67,$1.500.000,210 m² útiles,3 dormitorios,"josé manuel infante/estadio nacional, estadio nacional, ñuñoa",,casa en arriendo de 3 dorm. en ñuñoa
68,uf190,366 m² útiles,3 dormitorios,"malaga, barrio el golf, las condes",,casa en arriendo de 3 dormitorios en las condes
69,$850.000,130 m² útiles,3 dormitorios,"valle grande, valle grande, lampa",,
70,uf100,277 m² útiles,3 dormitorios,"amoblada / pedro de valdivia norte, pedro de valdivia norte, providencia",,casa en arriendo de 3 dorm. en providencia
71,$2.200.000,130 m² útiles,3 dormitorios,"casa en sector el mañío, parque bicentenario, vitacura",,
72,$2.100.000,290 m² útiles,3 dormitorios,"arriendo exclusiva propiedad amoblada, en sector santa rita. pirque, pirque",,casa en arriendo de 3 dorm. en pirque
73,"uf77,78",140 m² útiles,3 dormitorios,"josé manuel infante 600, salvador, providencia",,
74,$1.050.000,64 m² útiles,3 dormitorios,"cercano a aeropuerto y 5 de abril, villa francia, estación central",,arriendo casa esquina comercial en estacion central
75,$1.350.000,143 m² útiles,3 dormitorios,"av . presidente battle y ordoñez /montenegro, parque botánico, ñuñoa",,casa en arriendo de 3 dormitorios en ñuñoa
76,uf100,220 m² útiles,3 dormitorios,"pedro de valdivia norte- fabulosa casa en arriendo, pedro de valdivia norte, providencia",,
77,$1.600.000,55 m² útiles,3 dormitorios,"avenida padre hurtado  / riquelme, metro la cisterna, la cisterna",,
78,uf150,330 m² útiles,3 dormitorios,"lo curro, vitacura",,gran casa mediterránea - lo curro
79,uf100,217 m² útiles,3 dormitorios,"tour virtual / casa remodelada / p. vald., pedro de valdivia norte, providencia",,
80,$3.000.000,250 m² útiles,3 dormitorios,"estoril, los dominicos, las condes",,
81,uf120,500 m² útiles,3 dormitorios,"pastor fernandez - camino el cajon, el arrayán, lo barnechea",,casa en arriendo de 3 dorm. en lo barnechea
82,uf45,165 m² útiles,3 dormitorios,"del inca / pasaje cerrado, metro escuela militar, las condes",,
83,$5.475.300,250 m² útiles,3 dormitorios,"chicureo oriente - avenida del valle, chicureo, colina",,
84,uf190,366 m² útiles,3 dormitorios,"presidente errázuriz-gertrudis echeñique, barrio el golf, las condes",,casa en arriendo de 3 dorm. en las condes
