0,1,2,3,4,5,6,7
4.990,uf,54 - 100 m² útiles,1 - 3 dormitorios,1 - 2 baños,"comandante malbec 13133, la dehesa, lo barnechea",venta,departamentos
4.490,uf,39 - 79 m² útiles,1 - 3 dormitorios,1 - 2 baños,"josé manuel infante 1045, barrio italia, providencia",venta,departamentos
3.065,uf,30 - 58 m² útiles,1 - 2 dormitorios,1 - 2 baños,"edmundo eluchans 3011, reñaca, viña del mar",venta,departamentos
1.925,uf,21 - 56 m² útiles,1 - 2 dormitorios,1 - 2 baños,"castellón 1265, barrio poniente, concepción",venta,departamentos
2.531,uf,31 - 51 m² útiles,1 - 2 dormitorios,1 - 2 baños,"virginio arias 1371, juan gómez millas, ñuñoa",venta,departamentos
5.880,uf,42 - 100 m² útiles,1 - 3 dormitorios,1 - 3 baños,"pocuro 1925, inés de suárez, providencia",venta,departamentos
2.968,uf,34 - 64 m² útiles,1 - 2 dormitorios,1 - 2 baños,"rodrigo de araya 3280, juan gómez millas, ñuñoa",venta,departamentos
6.180,uf,58 - 87 m² útiles,2 - 3 dormitorios,2 baños,"teniente montt 1980, ñuñoa",venta,departamentos
2.639,uf,35 - 62 m² útiles,1 - 2 dormitorios,1 - 2 baños,"varas mena 865, san miguel",venta,departamentos
3.302,uf,32 - 67 m² útiles,1 - 2 dormitorios,1 - 2 baños,"pedro de oña 55, metro irarrázaval, ñuñoa",venta,departamentos
5.807,uf,36 - 81 m² útiles,1 - 3 dormitorios,1 - 2 baños,"av. borgoño 22000, concón",venta,departamentos
7.540,uf,75 - 114 m² útiles,2 - 3 dormitorios,2 - 3 baños,"visviri 1700, las condes",venta,departamentos
5.385,uf,44 - 106 m² útiles,1 - 3 dormitorios,1 - 3 baños,"suecia 2321, campus oriente, providencia",venta,departamentos
14.360,uf,137 - 285 m² útiles,4 - 5 dormitorios,4 - 5 baños,"francisco bulnes correa 3420, los dominicos, las condes",venta,departamentos
17.590,uf,111 m² útiles,2 dormitorios,3 baños,"presidente riesco 3077, barrio el golf, las condes",venta,departamentos
2.897,uf,34 - 54 m² útiles,1 - 2 dormitorios,1 - 2 baños,"nelson 2040, estadio nacional, ñuñoa",venta,departamentos
2.580,uf,35 - 80 m² útiles,1 - 3 dormitorios,1 - 2 baños,"inés de suarez 7858, vicente valdés, la florida",venta,departamentos
2.526,uf,21 - 45 m² útiles,1 dormitorio,1 baño,"marchant pereira 3350, metro ñuñoa, ñuñoa",venta,departamentos
3.288,uf,36 - 103 m² útiles,1 - 3 dormitorios,1 - 3 baños,"halimeda oriente esq. av. p3, reñaca, viña del mar",venta,departamentos
2.172,uf,26 - 60 m² útiles,1 - 2 dormitorios,1 - 2 baños,"chacabuco 111, centro de concepción, concepción",venta,departamentos
5.979,uf,49 - 151 m² útiles,1 - 4 dormitorios,1 - 4 baños,"pedro jesús rodríguez 400, la dehesa, lo barnechea",venta,departamentos
